"Тестирование игры Into the Radius, 
оружие ""Lebel M1886""",,,
№,Проверка ,Результат,Комментарий
Приобретение Lebel M1886,,,
1,Наличие оружия в магазине,pass,
2,Отображение характеристики оружия в магазине,pass,
3,Отображение цены на оружие,pass,
4,Покупка оружия,pass,
5,Поднятие оружия,pass,
6,Скидывание оружия,pass,
Отображение Lebel M1886,,,
7,Отображение оружия в арсенале после покупки,pass,
8,Отображение шильдика оружия при осмотре,pass,
9,Отображение тени у оружия,pass,
10,Отображение оружия с поднятыми/опущенными руками,pass,
11,Отображение оружия при осмотре справой/слевой стороны,pass,
12,Отображение оружия в правой/левой руке,pass,
13,Отображение оружия во время бега,pass,
14,Отображение оружится во время кружения на месте,pass,
15,Отображение оружия в положении лежа,pass,
16,Отображение оружия в положении сидя,pass,
17,Отображение оружия во время прыжка,pass,
18,Отображение оружия в дневное время,pass,
19,Отображение оружия в ночное время,pass,
20,Отображение оружия в рюкзаке,pass,
21,Отображение отдачи при выстреле,pass,
22,Отображение дыма при выстреле,pass,
23,Отображение отлетания гильз при выстреле,pass,
24,Отображение искр при выстреле,pass,
25,"Отображение попапа (всплывающая подсказка) 
при пустом патроннике",pass,
26,Отображение движения затвора при перезарядке,pass,
27,Отображение уменьшения патронов при выстреле,pass,
28,Отображение увеличения патронов при зарядке,pass,
Действие с Lebel M1886,,,
29,Перекладывание оружия в правую/левую руку,pass,
30,Использование оружия с прицелом,pass,
31,Использование оружия с глушителем,pass,
32,Использование оружия с фонариком,pass,
33,Отсутствие возможности использования оружия с другим оружием,pass,
34,Ремонтирование/чистка оружия,pass,
35,Возможность использовать оружие из рюкзака,pass,
36,Возможность убрать оружие в рюкзак,pass,
37,Смена оружия на Lebel M1886,pass,
38,Смена Lebel M1886 на другое оружие,pass,
39,Снятие/Постановка предохранителя,pass,
Стрельба из  Lebel M1886,,,
40,Зарядка целого патронника (8 патронов),pass,Допустимый максимум
41,Отсутствие зарядки сверхдопустимого колличества патронов,pass,
42,Частичная зарядка патронами,pass,
43,Зарядка одного патрона,pass,
44,Стрельба из оружия,pass,
45,Увеличение патронов в патроннике при зарядке,pass,
46,Уменьшение патронов в патроннике при выстреле,pass,
47,Перезарядка после каждого выстрела,pass,
48,Стрельба с прицелом,pass,
49,Стрельба с глушителем,pass,
50,Стрельба с фонариком,pass,
51,Присутствие зума у оружия,pass,
52,Выстрел из оружия 1 раз,pass,
53,Стрельба из оружия 5 раз,pass,
54,Стрельба из оружия 8 раз,pass,Допустимый максимум
55,Отсутствие возможности стрельбы без патронов,pass,
56,Попадание в цель с которкой дистанции,pass,
57,Попадание в цель с длинной дистанции,pass,
58,Стрельба из оружия во время бега,pass,
59,Стрельба из оружия в положении лежа,pass,
60,Стрельба из оружия в положении сидя,pass,
61,Стрельба из оружия с укрытия,pass,
Звуки при использовании Lebel M1886,,,
62,Наличие звука при выборе оружия,pass,
63,Наличие звука при смене оружия,pass,
64,Наличие звука при убирании оружия,pass,
65,Наличие звука при зарярдке оружия,pass,
66,Наличие звука при выстреле из оружия без глушителя,pass,
67,Наличие звука при перезарядке оружия ,pass,
68,Наличие звука при использовании затвора у оружия,pass,
69,Наличие звука отлетания гильз,pass,
70,Наличие звука при использовании глушителя,pass,
71,Наличие звука при попытке выстрела при пустом патроннике,pass,
